Protein.Group,PP_0368_log2_FC,PP_0437_log2_FC,PP_0528_log2_FC,PP_0751_log2_FC,PP_0812_log2_FC,PP_0813_log2_FC,PP_0814_log2_FC,PP_0815_log2_FC,PP_1317_log2_FC,PP_1506_log2_FC,PP_2136_log2_FC,PP_4120_log2_FC,PP_4189_log2_FC,PP_4191_log2_FC,PP_4192_log2_FC
aceA,-3.3689248841834445,-2.528723563723342,0.5552924218058821,0.4290891872272095,0.6762059054777383,1.056459091756218,,-0.7464057854191614,-0.8956137012987618,-1.6193986403121519,-2.8699406322328556,0.6479220091135994,-2.0219891956876466,-2.776216481143956,
acnA-I,,0.5574082020106654,0.49130704257013436,,-1.1228667313225449,-0.8909417671077134,,,,,-0.4563692837867953,,,0.9445763501449969,-0.16699011778776754
acnA-II,-0.3536690384892698,,-0.19557163342950118,-0.5246211713656368,-0.5311712620155439,,,-1.141748380427931,-0.24449016131648682,-1.1242985270063257,,-1.0825741111851321,-0.7722594317492091,-0.8796076095554962,-0.7974245880211366
acnB,,,-0.29333839084004787,,-0.15945322569644857,,-0.2335689252031814,,,,,-0.3980067750683911,,0.25892130863536883,0.39928691601778404
fumC,,,0.6926175586045792,,-0.6597591632921658,-0.8123134291612482,,0.5517042819818528,,,,-1.194491617724881,-0.4478586541729698,0.7089123641138382,
glcB,,0.388385696922101,0.2393081757957683,,0.2461195038917831,,0.4435949554686355,,,,,,,,
gltA,-0.21224372731820434,,,0.16127832516700963,0.1734297190279815,0.22602707469265174,,,0.35735611633864905,,,,,,0.4546760834176709
icd,,1.097073262097004,,-0.5714604610628989,-0.6247321340382882,-0.5897835174544899,,0.6748697089122435,0.531353459420993,,,-1.2965520991195627,,1.1750977666838227,
idh,0.6325530345613293,0.4444865480215206,,-0.30569738271024877,,-0.26839342554279144,,,0.26233840308722917,,0.5074296733628518,-0.4683357744175116,1.054641032668804,-0.3127768095434474,
lpdG,-0.2134768512413625,,,0.1523306933038396,-0.7203529147466408,-0.5260996317540272,-0.7882792626819177,-0.637924617775454,-0.47930152846267443,-0.7873393831856228,-0.2531014588338541,-0.5678963399714363,-2.5166047129587916,-0.38711295881336977,-0.7346878079816686
mqo1,,0.39663674177537667,,-4.2036776466364705,,,-0.4738927132529254,,0.5311143651266735,,,,,0.7537680529756764,0.6462534572425667
mqo2,0.5229136418263234,1.4047292417391415,,,,,,1.2524988996152082,,,-1.1369311847125172,,,0.9438094752966375,
mqo3,,1.5605459496128444,1.5511297500363064,-4.193083452292365,-1.068923515490111,-2.8066634912544677,0.8297856663112195,,,,,-2.2911863800370957,-3.5774328676784966,,-4.396184467263962
sdhA,0.18943768226435143,,-0.25541261047784836,0.1332984705823045,-0.19662934144369118,,-0.17617606543889197,-0.18260403015658547,0.22822229138651134,,,-0.13155621781962823,,-0.2843323178340113,-0.5875791674163957
sdhB,,,-0.23850859174576672,,-0.4016111315973307,-0.5274118564386913,-0.3066915112462253,-0.43338957674320494,,,,,,-0.4153241819310351,-0.8658009273580017
sdhC,,,-0.3938655936474144,,,-1.3733882490957516,,-0.3529525497865865,-1.9681276409658945,-1.2524650512022677,,,,,
sdhD,,,,,-0.49154294823994665,-0.5179735415797904,,-0.4206979251286274,0.298397016436523,0.5329310892015284,,,,,-0.28380966556941134
sucA,,0.29052384281554217,-0.18836481240302325,,-0.6614384092770947,-0.5518005988305429,-0.773128550368412,,,,,,-2.754804671983996,-0.34316414265637524,-0.3592552389098409
sucB,0.30596907963800063,0.4662810649554453,-0.28667104509554364,,-0.9208709138261583,-0.9148979693279654,-0.9377071576781267,-0.5880770020616036,,-0.2927993564438007,,-0.29776376844118047,-3.087832921299664,-0.2914369390419137,-0.49571576249738497
sucC,-1.1997811039515838,0.15002105077044414,,,-1.5961631887724073,-1.485354902590602,-1.684811381039793,-1.0394793874600052,-0.12972444952940995,-1.0949198286114652,,-0.08461068521153918,-1.4522293163538664,-2.7756724926021055,-0.6566051462502984
sucD,-1.2198911065534812,,,,-1.191671799036021,-1.1739494813495184,-1.1868287529755652,-0.8248644786551964,,-0.8877059740900409,-0.17350456935413028,0.13536096746630275,-1.1415533978929788,-2.820372863824032,-0.5390729758826333
