Protein.Group,Control_log2_FC,Control_log10_pval,PP_0368_log2_FC,PP_0368_log10_pval,PP_0751_log2_FC,PP_0751_log10_pval,PP_0812_15_log2_FC,PP_0812_15_log10_pval,PP_0812_log2_FC,PP_0812_log10_pval,PP_0813_log2_FC,PP_0813_log10_pval,PP_0814_log2_FC,PP_0814_log10_pval,PP_0815_log2_FC,PP_0815_log10_pval,PP_0751_PP_0812_log2_FC,PP_0751_PP_0812_log10_pval,PP_1317_PP_0812_log2_FC,PP_1317_PP_0812_log10_pval
A0A140FW35,1.252443902680101,1.9960220391648298,,,,,1.74703620519647,1.6160342563215337,,,,,,,,,,,,
A0A140FWA3,1.2061138460374337,1.8397900704608052,,,,,,,,,,,,,2.3767174795757695,1.517276731143115,,,,
PP_0203,-1.101866618353192,1.5095757378756756,,,,,,,,,,,,,,,,,,
PP_0285,1.3219459799923794,1.4139693791724246,,,,,,,,,,,,,,,,,,
PP_0515,1.1387510552565465,1.5666268661487661,,,,,,,,,,,,,,,,,,
PP_0973,1.2532496955392072,1.4944669951191631,,,,,,,,,,,,,,,,,,
PP_1006,1.8282815177893834,1.5910048792193203,,,,,,,,,,,-2.651257093548277,1.6808519783188498,,,,,,
PP_1379,1.014297995368223,1.4130809470672168,,,,,,,,,,,,,,,,,,
PP_1695,2.227621001284787,2.231492260302367,,,,,2.765852983693233,1.7866977920340565,,,,,,,2.3008060495662903,2.339589815033261,,,,
PP_2012,1.5843672372510256,2.0415837541192148,,,,,,,,,,,,,,,,,,
PP_2209,2.9942161801932192,2.0139271080293986,,,,,,,,,,,,,1.6586952025772956,1.9220924914812396,,,,
PP_2376,1.5286647830758129,1.878988505909967,,,,,,,,,,,,,,,,,,
PP_2436,1.0456734148310483,1.3357834793092542,,,,,,,,,,,,,,,,,,
PP_2794,3.4836466049325687,1.8149056043883396,,,,,,,,,,,-2.5976634355843338,1.4958457626400719,4.134149447888502,4.790434400286773,,,,
PP_3288,1.845325355539047,1.5404084061110608,,,,,,,,,,,,,2.0928543283779435,1.375689416975148,,,,
PP_3406,1.2168123208232742,1.3583932742881295,,,,,,,,,,,,,,,,,,
PP_3558,3.006350962046085,1.386735092700324,,,,,,,,,,,,,,,,,,
PP_3758,-1.0379172753114725,1.434840852276977,,,,,,,,,,,,,,,,,,
PP_4780,1.895396168848057,1.4360876089362613,,,,,,,,,,,,,,,,,,
PP_4904,1.0503174005916032,1.4058236103825594,,,,,,,,,,,,,,,,,,
PP_4988,1.641732765162171,1.340412572108558,,,,,,,,,,,,,,,,,,
PP_5391,1.4265043894409137,1.5606870079081705,,,,,,,,,,,,,1.0988502815348709,2.2053584791047864,,,,
A0A140FW42,,,-1.2788677171657004,1.3346320439408275,,,,,,,,,,,,,,,,
A0A140FWQ2,,,-1.48624646033977,2.7130072243939503,,,,,,,,,,,-3.8383126890896793,2.4058530642454423,,,,
PP_0245,,,-1.536410281261418,1.4505899424144992,,,,,,,,,,,,,,,,
PP_0296,,,1.7077513869161303,2.22602039006645,,,,,,,,,,,,,,,,
PP_0882,,,2.2381308540367586,2.772881139459708,,,,,,,,,,,,,,,,
PP_0971,,,1.6550240521667858,1.4283329430099108,,,,,,,,,,,,,,,,
PP_1143,,,2.2911868820003267,2.2833221017091083,,,,,,,,,,,,,,,,
PP_1146,,,2.316757462121776,1.565058629846476,,,,,,,,,,,2.807292783977059,1.8222905417453579,,,,
PP_1359,,,1.975696327292462,1.4418353972931215,,,,,,,,,,,,,,,,
PP_1418,,,-4.892838566494851,1.3639345174366437,,,,,,,,,,,,,,,,
PP_1633,,,1.0065579786256602,1.4736825839862506,,,,,,,,,,,,,,,,
PP_1664,,,1.5714104261435238,2.6090474537129897,,,,,,,,,,,,,,,,
PP_1716,,,2.161288059771076,1.405112987693227,,,-2.3904669817532866,1.694011998396184,,,,,,,,,,,,
PP_1868,,,-1.0759833032222927,2.0974329855853284,,,,,,,,,-1.0533144636494376,1.4130322527924655,-2.092085553103396,4.071336129548148,,,,
